10000 29991
0 1 10
0 2 94
0 3 6
0 4 8
0 5 73
0 6 77
0 8 46
0 9 54
0 12 12
0 16 51
0 17 13
0 18 60
0 20 31
0 22 53
0 23 52
0 25 7
0 27 73
0 28 93
0 29 51
0 33 28
0 35 20
0 43 37
0 46 73
0 47 64
0 50 38
0 51 89
0 52 83
0 56 33
0 62 23
0 67 87
0 75 2
0 82 67
0 85 4
0 86 51
0 93 47
0 98 93
0 101 49
0 109 10
0 111 12
0 114 97
0 116 73
0 123 4
0 141 38
0 142 57
0 148 26
0 155 88
0 157 36
0 183 50
0 186 70
0 188 94
0 208 17
0 210 38
0 215 94
0 221 18
0 222 70
0 225 25
0 229 79
0 239 78
0 244 74
0 266 49
0 270 98
0 294 18
0 300 15
0 325 99
0 339 77
0 345 28
0 350 72
0 365 97
0 369 36
0 370 42
0 386 98
0 390 79
0 409 1
0 419 88
0 420 30
0 427 20
0 443 23
0 459 70
0 478 77
0 479 74
0 480 47
0 482 17
0 489 74
0 494 50
0 498 74
0 502 35
0 509 11
0 510 61
0 532 81
0 558 7
0 563 83
0 576 9
0 584 22
0 592 8
0 610 32
0 612 25
0 618 55
0 638 47
0 661 68
0 662 40
0 664 5
0 690 28
0 703 87
0 739 59
0 743 46
0 757 61
0 763 88
0 766 45
0 791 61
0 814 96
0 816 29
0 822 97
0 839 90
0 848 91
0 852 79
0 853 60
0 859 80
0 919 28
0 945 74
0 946 14
0 949 14
0 957 89
0 981 63
0 984 22
0 994 48
0 1022 79
0 1044 89
0 1048 44
0 1049 73
0 1094 48
0 1099 89
0 1124 32
0 1174 41
0 1186 12
0 1194 3
0 1201 66
0 1202 69
0 1215 71
0 1220 41
0 1231 30
0 1244 65
0 1247 71
0 1259 75
0 1267 79
0 1354 45
0 1370 87
0 1374 79
0 1390 100
0 1425 4
0 1450 21
0 1472 59
0 1482 13
0 1499 56
0 1551 49
0 1566 11
0 1596 89
0 1616 35
0 1630 92
0 1648 38
0 1670 18
0 1674 91
0 1769 97
0 1770 79
0 1840 29
0 1851 68
0 1866 20
0 1894 8
0 1898 2
0 1913 8
0 1930 78
0 1959 41
0 1986 14
0 1997 93
0 2014 86
0 2070 48
0 2123 69
0 2127 9
0 2141 31
0 2191 3
0 2200 90
0 2208 41
0 2236 31
0 2240 83
0 2260 39
0 2268 33
0 2298 70
0 2321 82
0 2349 63
0 2353 4
0 2359 68
0 2361 55
0 2449 49
0 2451 5
0 2477 9
0 2494 73
0 2588 78
0 2631 79
0 2737 22
0 2756 90
0 2809 86
0 2827 60
0 2834 95
0 2850 75
0 2869 7
0 2875 44
0 2923 40
0 2951 8
0 2952 79
0 2961 3
0 2968 23
0 3016 65
